FID,ID_FISCALIZACAO_ELETRONICA,DESC_LOC_CONTROLADOR_TRANSITO,DESC_TIPO_CONTROLADOR_TRANSITO,VELOCIDADE_REGULAMENTAR,SENTIDO,SENTIDO_FISCALIZADO,NUM_SERIE_ATUAL,COD_SECUNDARIA,GEOMETRIA
FISCALIZACAO_ELETRONICA.262,262,"Av. Cristiano Machado esquina com R. Tamboril 
",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8969,,POINT (611367.363251832 7798693.4598023)
FISCALIZACAO_ELETRONICA.263,263,"Av. Cristiano Machado esquina com R. Zaira de Paula
",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8974,,POINT (612088.799156664 7800368.14151189)
FISCALIZACAO_ELETRONICA.264,264,"Av. Cristiano Machado esquina com R. Zaira de Paula
",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8975,,POINT (612094.268245522 7800369.92004039)
FISCALIZACAO_ELETRONICA.265,265,"Av. Cristiano Machado, 1320 ",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,8959,,POINT (612231.368074352 7799323.13470283)
FISCALIZACAO_ELETRONICA.266,266,"Av. Cristiano Machado, 4001",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8965,,POINT (612145.758685626 7801846.00589803)
FISCALIZACAO_ELETRONICA.267,267,"Av. Cristiano Machado, 4001",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8966,,POINT (612151.333327461 7801845.45936452)
FISCALIZACAO_ELETRONICA.268,268,"Av. Cristiano Machado, oposto ao 4001",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,8963,,POINT (612163.43904478 7801788.1006723)
FISCALIZACAO_ELETRONICA.269,269,"Av. Dom Pedro I, 2062",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,8976,,POINT (608879.008987153 7807189.44199785)
FISCALIZACAO_ELETRONICA.270,270,"Av. Dom Pedro I, 2177",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8970,,POINT (608999.827814921 7807299.9322327)
FISCALIZACAO_ELETRONICA.271,271,"Av. Dom Pedro I, 2177",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,8977,,POINT (609003.434490569 7807296.07365623)
FISCALIZACAO_ELETRONICA.272,272,"Av. Presidente Antônio Carlos, 561",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,2200005,,POINT (610577.110976289 7798452.3766479)
FISCALIZACAO_ELETRONICA.273,273,"Av. Presidente Antônio Carlos, 6484",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,2200004,,POINT (609205.672747803 7803073.99527466)
FISCALIZACAO_ELETRONICA.274,274,"Av. Presidente Antônio Carlos, 6627",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,2200003,,POINT (609057.317161933 7803395.67245465)
FISCALIZACAO_ELETRONICA.275,275,"Av. Presidente Antônio Carlos, 7400",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,2200002,,POINT (608928.953120931 7803870.8264314)
FISCALIZACAO_ELETRONICA.276,276,"Av. Presidente Antônio Carlos, 7719",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,2200001,,POINT (608766.660053829 7804232.23146034)
FISCALIZACAO_ELETRONICA.277,277,Av. Presidente Carlos Luz entre Praça Pedro Mello e Anel Rodoviário,Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,2200013,,POINT (607220.708731718 7801366.33874453)
